authorid,author,numofpapers
81100540612, Htet Htet Aung,1
81100296046, Melody Y. Ivory,2
81100500153, Thomas P. Santoro,1
81332499007, Malcolm Foster,1
81100162232, Robert Miller,3
81100575572, Pamela J. Ludford,1
81100517821, Paul Gnanayutham,1
81100270213, Thomas A. Furness,1
81100103519, James A. Landay,9
81452618006, Janet L. Kolodner,1
81100539968, Fernanda B. Vigas,1
81100398596, Scott Counts,1
81310499777, Nicole Yankelovich,1
81100229966, Tim Halverson,1
81100408150, Katherine Godfrey,1
81100161020, Alain Karsenty,1
81100099317, Habib Abi-Rached,1
81100001812, Brian Silverman,1
81100590142, Paul M. Aoki,3
81341496249, Minako Sawaki,1
81100253314, Holly Fait,1
81100649937, George W. Furnas,1
81536794756, Frank J. Lee,1
81414597360, Yunsuk Jeon,1
81100402263, Jan Blom,1
81100222950, Matthew Kam,1
81100522263, V. Kathlene Emery,2
81332526317, Cheryl D. Seals,1
81100322683, Stephane Conversy,2
81100190928, Curtis Wong,1
81100038403, Erica Robles,1
81100266861, Anton Nijholt,1
81100560047, Susan Yee,1
81100064306, Catalina Danis,1
81100342488, Othman Laraki,1
81100456738, Jessica McMackin,1
81100617612, Jungpil Hahn,1
81100371481, Tim Gorton,1
81540206056, Mick McGee,1
81408592441, Peter H. Kahn,1
81100330306, Abhishek Ranjan,1
81100285123, Jim Christensen,1
81100149748, Raffay Hamid,1
81100126583, Laurent Etienne,1
81332528788, Elliot Soloway,3
81343495056, Gary Hsieh,1
81100374908, Steven De Mar,1
81100351532, Lynette I. Millett,1
81100390624, David Martin,1
81100223099, Judith Donath,1
81343506925, James D. Thornton,2
81339506713, Jari Jrvinen,1
81100204766, Jeffrey Nichols,1
81100415127, Christina L. James,1
81100098093, Lili Cheng,1
81100335135, Kimiko Ryokai,1
81543071456, Sachin Patil,1
81100328785, Mark Howard,1
81100507080, Eve MacGregor,1
81100525482, Ted Selker,1
81100038478, I. M. Spain,1
81100429734, John D. Lee,1
81332504228, Jim Hines,1
81100495977, Carman Neustaedter,1
81341488770, Michael D. Byrne,1
81100281927, Erica Newcomb,1
81406592524, Stuart K. Card,3
81100017816, Bruce McKenzie,2
81100236514, Elizabeth Sillence,1
81100277483, Sriram Subramanian,1
81100025873, J. J. Cadiz,5
81100564360, Peter G. Polson,3
81100305214, Jens Riegelsberger,1
81100544081, Ingrid U. Scott,1
81100360877, Paul Blenkhorn,1
81543670056, Mike Durham,1
81100366933, Erick Mendez-Mendez,1
81100545016, Paul S. Herrnson,1
81100061557, Michelle Hastings,1
