"""conference""","""year""","""doi""","""title""","""citationCount""","""download6weeks""","""download12months""","""downloadAll""","""keywords""","""pageNumber""","""authors"""
CHI,1,http://dx.doi.org/10.1145/365024.365121,The impact of eye gaze on communication using humanoid avatars,56,11,87,"1,786","artificial, augmented, and virtual realities; collaborative virtual enviroments; design; experimentation; human factors; management; mediated communication; performance; virtual reality",8,"81100051968, Maia Garau, Department of Computer Science, University College London (UCL), Gower St., London, WC1E 6BT, UK; 81100615391, Mel Slater, Department of Computer Science, University College London (UCL), Gower St., London, WC1E 6BT, UK; 81100302046, Simon Bee, Parametric Technology Corp., 19 Apex Court, Woodlands, Almondsbury Park, Bristol, BS32 4JT, UK and MLB3/7, BT Labs., Martlesham Heath, Ipswich, IP5 3RE, UK; 81100499004, Martina Angela Sasse, Department of Computer Science, University College London (UCL), Gower St., London, WC1E 6BT, UK; "
CHI,1,http://dx.doi.org/10.1145/365024.365124,The dynamics of mass online marketplaces: a case study of an online auction,6,3,48,"1,847",design; electronic marketplaces; information overload; management; market technostructure; measurement; performance; user interfaces,8,"81100617612, Jungpil Hahn, Information and Decision Sciences, University of Minnesota, Minneapolis, MN; "
CHI,1,http://dx.doi.org/10.1145/365024.365126,Digital family portraits: supporting peace of mind for extended family members,178,14,207,"2,355",aging; awareness; home; light-weight interaction; performance; ubiquitous computing; visualization,8,"81100331104, Elizabeth D. Mynatt, Everyday Computing Lab, Graphics, Visualization and Usability Center, Georgia Institute of Technology, Atlanta, GA; 81100302436, Jim Rowan, Everyday Computing Lab, Graphics, Visualization and Usability Center, Georgia Institute of Technology, Atlanta, GA; 81100526497, Sarah Craighill, Everyday Computing Lab, Graphics, Visualization and Usability Center, Georgia Institute of Technology, Atlanta, GA; 81100068716, Annie Jacobs, Everyday Computing Lab, Graphics, Visualization and Usability Center, Georgia Institute of Technology, Atlanta, GA; "
CHI,1,http://dx.doi.org/10.1145/365024.365130,Social navigation of food recipes,26,8,68,"1,693",awareness; electronic commerce; management; performance; privacy; security; theory; web-based services,8,"81100551494, Martin Svensson, HUMLE, SICS, Box 1263, S-164 29 Kista, Sweden; 81341491415, Kristina H&#246;&#246;k, HUMLE, SICS, Box 1263, S-164 29 Kista, Sweden; 81100629235, Jarmo Laaksolahti, HUMLE, SICS, Box 1263, S-164 29 Kista, Sweden; 81100020339, Annika Waern, HUMLE, SICS, Box 1263, S-164 29 Kista, Sweden; "
CHI,1,http://dx.doi.org/10.1145/365024.365298,Chinese input with keyboard and eye-tracking: an anatomical study,25,10,69,"1,152",chinese text input; documentation; evaluation/methodology; eye-tracking; gaze-tracking; human factors; interaction styles; languages; measurement; natural language; performance modeling; theory,8,"81100233343, Jingtao Wang, IBM China Research Lab, No. 7, 5th Street, Shangdi, Beijing, 100085, P. R. China; 81408591988, Shumin Zhai, IBM Almaden Research Center, 650 Harry Road, San Jose, CA; 81339530542, Hui Su, IBM China Research Lab, No. 7, 5th Street, Shangdi, Beijing, 100085, P. R. China; "
CHI,1,http://dx.doi.org/10.1145/365024.365299,Model for unistroke writing time,13,6,20,573,design; handwriting; input devices and strategies; measurement; pen input; theory,8,"81100311272, Poika Isokoski, Computer-Human Interaction Group, Dept. of Computer and Information Sciences, FIN-33014 University of Tampere, Finland; "
CHI,1,http://dx.doi.org/10.1145/365024.365300,Text input for mobile devices: comparing model prediction to actual performance,64,15,164,"3,153",design; human factors; keypad input; measurement; mobile systems; performance modeling; reliability; theory,7,"81100415127, Christina L. James; 81332522999, Kelly M. Reischel; "
CHI,1,http://dx.doi.org/10.1145/365024.365301,Better home shopping or new democracy?: evaluating community network outcomes,13,4,34,"1,204",assistive technologies for persons with disabilities; community networks; design; evaluation/methodology; human factors; measurement; performance evaluation; sociology; web-based services,8,"81350576124, John M. Carroll, Center for Human-Computer Interaction and Department of Computer Science, Virginia Tech, Blacksburg, VA; 81335496622, Mary Beth Rosson, Center for Human-Computer Interaction and Department of Computer Science, Virginia Tech, Blacksburg, VA; "
CHI,1,http://dx.doi.org/10.1145/365024.365302,Identity construction environments: supporting a virtual therapeutic community of pediatric patients undergoing dialysis,15,2,34,740,"artificial, augmented, and virtual realities; dialysis; human factors; management; medicine and science; pediatric patients; storytelling; therapy; virtual reality",8,"81100457566, Marina U. Bers, MIT Media Laboratory, Cambridge, MA; 81100139403, Joseph Gonzalez-Heydrich, Children's Hospital, Boston, MA; 81100152567, David Ray DeMaso, Children's Hospital, Boston, MA; "
CHI,1,http://dx.doi.org/10.1145/365024.365303,GeneyTM: designing a collaborative activity for the palmTM handheld computer,43,1,39,"1,241",children; cscl; design; genetics; handheld computing; management; performance; theory; user-centered design,8,"81538105656, Arman Danesh, School of Computing Science, Simon Fraser University; 81100519232, Kori Inkpen, School of Computing Science, Simon Fraser University; 81538470456, Felix Lau, School of Computing Science, Simon Fraser University; 81100206506, Keith Shu, School of Computing Science, Simon Fraser University; 81100170154, Kellogg Booth, Department of Computer Science, University of British Columbia; "
CHI,1,http://dx.doi.org/10.1145/365024.365304,Relational agents: a model and implementation of building user trust,63,17,89,"1,628",design; human factors; management; natural language; natural language interfaces; personality; social interface; trust,8,"81100360895, Timothy Bickmore, MIT Media Lab, 20 Ames St., E15-320, Cambridge, MA; 81100435029, Justine Cassell, MIT Media Lab, 20 Ames St., E15-320, Cambridge, MA; "
CHI,1,http://dx.doi.org/10.1145/365024.365305,An empirical study of human Web assistants: implications for user support in Web information systems,13,3,32,"1,002","attitude; design guidelines; field study; management; performance; training, help, and documentation; user support; web-based interaction",8,"81100216445, Johan Aberg; 81100181796, Nahid Shahmehri; "
CHI,1,http://dx.doi.org/10.1145/365024.365306,Social presence in Web surveys,1,3,31,"1,080",design; human factors; measurement; social desirability; theory; web-based interaction,6,"81100333345, Mick P. Couper, University of Michigan, P.O. Box 1248, Ann Arbor, MI; 81100538591, Roger Tourangeau, University of Michigan, P.O. Box 1248, Ann Arbor, MI; 81100632144, Darby M. Steiger; "
CHI,1,http://dx.doi.org/10.1145/365024.365307,Exploring 3D navigation: combining speed-coupled flying with orbiting,63,27,157,"1,647",3d virtual environments; design; experimentation; interaction styles; management; performance; user studies,8,"81100255664, Desney S. Tan, Carnegie Mellon University School of Computer Science, 5000 Forbes Ave., Pittsburgh, PA and Microsoft Research, One Microsoft Way, Redmond, WA; 81452612822, George G. Robertson, Microsoft Research, One Microsoft Way, Redmond, WA; 81100280834, Mary Czerwinski, Microsoft Research, One Microsoft Way, Redmond, WA; "
